,0,1,2
535,KARNATAKA,GUJARAT,13833
536,KARNATAKA,HARYANA,0
537,KARNATAKA,HIMACHAL PRADESH,0
538,KARNATAKA,JAMMU AND KASHMIR,0
539,KARNATAKA,JHARKHAND,18609
540,KARNATAKA,KARNATAKA,0
541,KARNATAKA,KERALA,259263
542,KARNATAKA,LAKSHADWEEP,0
543,KARNATAKA,MADHYA PRADESH,62696
544,KARNATAKA,MAHARASHTRA,395087
545,KARNATAKA,MANIPUR,0
546,KARNATAKA,MEGHALAYA,0
547,KARNATAKA,MIZORAM,0
548,KARNATAKA,NAGALAND,0
549,KARNATAKA,ODISHA,102167
550,KARNATAKA,PUDUCHERRY,0
551,KARNATAKA,PUNJAB,0
552,KARNATAKA,RAJASTHAN,25
553,KARNATAKA,TAMIL NADU,912721
554,KARNATAKA,TRIPURA,214
555,KARNATAKA,UTTAR PRADESH,160673
556,KARNATAKA,UTTARAKHAND,0
557,KARNATAKA,WEST BENGAL,150334
558,KARNATAKA,DELHI NCT,8846
559,KARNATAKA,SIKKIM,0
560,KERALA,ANDAMAN AND NICOBAR ISLANDS,0
561,KERALA,ANDHRA PRADESH,157514
562,KERALA,ARUNACHAL PRADESH,0
563,KERALA,ASSAM,105
564,KERALA,BIHAR,12148
565,KERALA,CHANDIGARH,0
566,KERALA,CHHATTISGARH,664
567,KERALA,DADRA AND NAGAR HAVELI,0
568,KERALA,DAMAN AND DIU,0
569,KERALA,GOA,1100
570,KERALA,GUJARAT,39324
571,KERALA,HARYANA,0
572,KERALA,HIMACHAL PRADESH,0
573,KERALA,JAMMU AND KASHMIR,0
574,KERALA,JHARKHAND,0
575,KERALA,KARNATAKA,253889
576,KERALA,KERALA,0
577,KERALA,LAKSHADWEEP,0
578,KERALA,MADHYA PRADESH,22766
579,KERALA,MAHARASHTRA,115496
580,KERALA,MANIPUR,0
581,KERALA,MEGHALAYA,0
582,KERALA,MIZORAM,0
583,KERALA,NAGALAND,0
584,KERALA,ODISHA,1283
