,From,To,Weight
457,HIMACHAL PRADESH,SIKKIM,317
458,PUNJAB,NAGALAND,318
459,UTTARAKHAND,DAMAN & DIU,318
460,MADHYA PRADESH,MEGHALAYA,319
461,NCT OF DELHI,ANDAMAN & NICOBAR ISLANDS,323
462,MANIPUR,TRIPURA,324
463,NCT OF DELHI,SIKKIM,329
464,ODISHA,MEGHALAYA,331
465,NCT OF DELHI,DAMAN & DIU,335
466,ANDHRA PRADESH,SIKKIM,336
467,MIZORAM,MANIPUR,336
468,KARNATAKA,ANDAMAN & NICOBAR ISLANDS,336
469,JAMMU & KASHMIR,MEGHALAYA,344
470,MIZORAM,MAHARASHTRA,344
471,CHANDIGARH,JAMMU & KASHMIR,346
472,BIHAR,PUDUCHERRY,347
473,TRIPURA,ARUNACHAL PRADESH,349
474,NAGALAND,TRIPURA,349
475,GOA,RAJASTHAN,353
476,NAGALAND,PUNJAB,356
477,NAGALAND,UTTARAKHAND,358
478,SIKKIM,UTTARAKHAND,360
479,SIKKIM,MAHARASHTRA,360
480,MIZORAM,KARNATAKA,360
481,KARNATAKA,MEGHALAYA,364
482,MIZORAM,WEST BENGAL,367
483,ARUNACHAL PRADESH,KERALA,369
484,HIMACHAL PRADESH,ODISHA,372
485,MANIPUR,GUJARAT,376
486,HIMACHAL PRADESH,TAMIL NADU,377
487,CHHATTISGARH,ANDAMAN & NICOBAR ISLANDS,377
488,MEGHALAYA,UTTARAKHAND,382
489,KERALA,CHANDIGARH,385
490,MADHYA PRADESH,SIKKIM,389
491,NAGALAND,RAJASTHAN,390
492,MANIPUR,KERALA,390
493,MEGHALAYA,GUJARAT,392
494,GOA,HARYANA,396
495,TRIPURA,RAJASTHAN,398
496,MAHARASHTRA,NAGALAND,398
497,KARNATAKA,DAMAN & DIU,400
498,MEGHALAYA,TAMIL NADU,401
499,TRIPURA,GUJARAT,402
500,TAMIL NADU,DADRA & NAGAR HAVELI,407
501,ANDAMAN & NICOBAR ISLANDS,NCT OF DELHI,408
502,CHANDIGARH,MADHYA PRADESH,409
503,MANIPUR,RAJASTHAN,410
504,ARUNACHAL PRADESH,SIKKIM,410
505,KARNATAKA,NAGALAND,417
506,JAMMU & KASHMIR,GOA,418
507,MANIPUR,SIKKIM,419
508,PUNJAB,MEGHALAYA,425
509,MANIPUR,MADHYA PRADESH,431
510,NCT OF DELHI,MANIPUR,436
511,LAKSHADWEEP,BIHAR,438
512,GOA,MADHYA PRADESH,438
513,UTTARAKHAND,GOA,442
514,CHANDIGARH,WEST BENGAL,443
515,MANIPUR,CHANDIGARH,445
516,GOA,UTTAR PRADESH,449
517,MANIPUR,HARYANA,450
518,MEGHALAYA,MANIPUR,450
519,NAGALAND,UTTAR PRADESH,452
520,KERALA,HIMACHAL PRADESH,454
521,NCT OF DELHI,DADRA & NAGAR HAVELI,455
